# Wikidata_country_ID | Country name in English | in Russian
29 | Spain | Испания
1049 | Sudan | Судан
1025 | Mauritania | Мавритания
1027 | Mauritius | Маврикий
1020 | Malawi | Малави
189 | Iceland | Исландия
843 | Pakistan | Пакистан
842 | Oman | Оман
184 | Belarus | Белоруссия
1029 | Mozambique | Мозамбик
846 | Qatar | Катар
736 | Ecuador | Эквадор
265 | Uzbekistan | Узбекистан
347 | Liechtenstein | Лихтенштейн
227 | Azerbaijan | Азербайджан
225 | Bosnia and Herzegovina | Босния и Герцеговина
224 | Croatia | Хорватия
222 | Albania | Албания
221 | Republic of Macedonia | Республика Македония
96 | Mexico | Мексика
229 | Cyprus | Республика Кипр
228 | Andorra | Андорра
1050 | Swaziland | Свазиленд
17 | Japan | Япония
16 | Canada | Канада
424 | Cambodia | Камбоджа
1028 | Morocco | Марокко
902 | Bangladesh | Бангладеш
25230 | Bailiwick of Guernsey | Гернси
1036 | Uganda | Уганда
1037 | Rwanda | Руанда
1008 | Ivory Coast | Кот-д’Ивуар
1032 | Niger | Нигер
262 | Algeria | Алжир
1030 | Namibia | Намибия
191 | Estonia | Эстония
965 | Burkina Faso | Буркина-Фасо
717 | Venezuela | Венесуэла
967 | Burundi | Бурунди
962 | Benin | Бенин
963 | Botswana | Ботсвана
697 | Nauru | Науру
298 | Chile | Чили
695 | Palau | Палау
115 | Ethiopia | Эфиопия
114 | Kenya | Кения
117 | Ghana | Гана
691 | Papua New Guinea | Папуа — Новая Гвинея
757 | Saint Vincent and the Grenadines | Сент-Винсент и Гренадины
754 | Trinidad and Tobago | Тринидад и Тобаго
750 | Bolivia | Боливия
212 | Ukraine | Украина
213 | Czech Republic | Чехия
211 | Latvia | Латвия
217 | Moldova | Молдавия
214 | Slovakia | Словакия
215 | Slovenia | Словения
218 | Romania | Румыния
219 | Bulgaria | Болгария
912 | Mali | Мали
917 | Bhutan | Бутан
916 | Angola | Ангола
1000 | Gabon | Габон
1007 | Guinea-Bissau | Гвинея-Бисау
1006 | Guinea | Гвинея
1005 | The Gambia | Гамбия
712 | Fiji | Фиджи
977 | Djibouti | Джибути
1009 | Cameroon | Камерун
974 | Democratic Republic of the Congo | Демократическая Республика Конго
971 | Republic of the Congo | Республика Конго
970 | Comoros | Коморы
683 | Samoa | Самоа
769 | Grenada | Гренада
685 | Solomon Islands | Соломоновы Острова
686 | Vanuatu | Вануату
763 | Saint Kitts and Nevis | Сент-Китс и Невис
760 | Saint Lucia | Сент-Люсия
766 | Jamaica | Ямайка
9676 | Isle of Man | Остров Мэн
1033 | Nigeria | Нигерия
874 | Turkmenistan | Туркмения
6250 | Western Sahara | Западная Сахара
219060 | State of Palestine | Государство Палестина
79 | Egypt | Египет
77 | Uruguay | Уругвай
574 | East Timor | Восточный Тимор
878 | United Arab Emirates | Объединённые Арабские Эмираты
774 | Guatemala | Гватемала
948 | Tunisia | Тунис
817 | Kuwait | Кувейт
810 | Jordan | Иордания
811 | Nicaragua | Никарагуа
813 | Kyrgyzstan | Киргизия
1014 | Liberia | Либерия
1016 | Libya | Ливия
1246 | Kosovo | Республика Косово
739 | Colombia | Колумбия
778 | The Bahamas | Багамские Острова
945 | Togo | Того
678 | Tonga | Тонга
1039 | São Tomé and Príncipe | Сан-Томе и Принсипи
672 | Tuvalu | Тувалу
921 | Brunei | Бруней
863 | Tajikistan | Таджикистан
865 | Taiwan | Китайская Республика
869 | Thailand | Таиланд
